query_id,query,doc_id,document_title,relevance_label
q34,Why does the ViT paper argue that convolutions are not strictly necessary for image classification?,68,An Image is Worth 16x16 Words- Transformers for Image Recognition at Scale.pdf,relevant
q35,What role do image patches play in Vision Transformer?,68,An Image is Worth 16x16 Words- Transformers for Image Recognition at Scale.pdf,relevant
q36,Why is large-scale pretraining important for ViT performance?,68,An Image is Worth 16x16 Words- Transformers for Image Recognition at Scale.pdf,relevant
q37,How does DQN learn to play Atari games directly from pixels?,67,Playing Atari with Deep Reinforcement Learning.pdf,relevant
q38,What role does Q-learning play in the DQN paper?,67,Playing Atari with Deep Reinforcement Learning.pdf,relevant
q39,Why was this paper important for deep reinforcement learning?,67,Playing Atari with Deep Reinforcement Learning.pdf,relevant
q40,What kind of input representation is used for the Atari agent?,67,Playing Atari with Deep Reinforcement Learning.pdf,relevant
q41,How does the GCN paper define convolution on graph-structured data?,66,Semi-Supervised Classification with Graph Convolutional Networks.pdf,relevant
q42,Why is the method in the GCN paper considered semi-supervised?,66,Semi-Supervised Classification with Graph Convolutional Networks.pdf,relevant
q43,How does neighborhood information influence node representations in GCNs?,66,Semi-Supervised Classification with Graph Convolutional Networks.pdf,relevant
q44,What problem is the GCN paper mainly trying to solve?,66,Semi-Supervised Classification with Graph Convolutional Networks.pdf,relevant
q45,How does Neural Collaborative Filtering differ from traditional matrix factorization?,65,Neural Collaborative Filtering.pdf,relevant
q46,How are nonlinear user-item interactions modeled in this paper?,65,Neural Collaborative Filtering.pdf,relevant
q47,What type of recommendation setting does the paper focus on?,65,Neural Collaborative Filtering.pdf,relevant
q48,Why is neural modeling useful for collaborative filtering according to the paper?,65,Neural Collaborative Filtering.pdf,relevant
q49,How does wav2vec 2.0 learn speech representations from unlabeled audio?,64,wav2vec 2.0- A Framework for Self-Supervised Learning of Speech Representations.pdf,relevant
q50,What gets masked during wav2vec 2.0 pretraining?,64,wav2vec 2.0- A Framework for Self-Supervised Learning of Speech Representations.pdf,relevant
q51,Why is self-supervised learning useful in the wav2vec 2.0 framework?,64,wav2vec 2.0- A Framework for Self-Supervised Learning of Speech Representations.pdf,relevant
q52,How is the pretrained wav2vec 2.0 model adapted for speech recognition?,64,wav2vec 2.0- A Framework for Self-Supervised Learning of Speech Representations.pdf,relevant
q53,What is the main idea behind Autoformer for time-series forecasting?,63,Autoformer- Decomposition Transformers with Auto-Correlation for Long-Term Series Forecasting.pdf,relevant
q54,What is the Auto-Correlation mechanism in Autoformer?,63,Autoformer- Decomposition Transformers with Auto-Correlation for Long-Term Series Forecasting.pdf,relevant
q55,Why does Autoformer use decomposition in forecasting?,63,Autoformer- Decomposition Transformers with Auto-Correlation for Long-Term Series Forecasting.pdf,relevant
q56,What challenge in long-term forecasting is Autoformer trying to address?,63,Autoformer- Decomposition Transformers with Auto-Correlation for Long-Term Series Forecasting.pdf,relevant
q57,How do the generator and discriminator interact in GAN training?,62,Generative Adversarial Nets.pdf,relevant
q58,What minimax objective is introduced in the original GAN paper?,62,Generative Adversarial Nets.pdf,relevant
q59,Why can GAN training be unstable?,62,Generative Adversarial Nets.pdf,relevant
q60,What is the key idea that makes adversarial learning effective for generation?,62,Generative Adversarial Nets.pdf,relevant
